"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 02, 2011","303.52","296.77","306.95","292.39","-","1.80%"
"Sep 25, 2011","298.15","302.61","312.26","297.85","-","-1.23%"
"Sep 18, 2011","301.87","327.93","327.94","301.72","-","-8.40%"
"Sep 11, 2011","329.55","332.17","336.82","329.04","-","-1.40%"
"Sep 04, 2011","334.24","333.75","341.69","332.47","-","-1.13%"
"Aug 28, 2011","338.06","335.85","343.28","335.83","-","0.84%"
"Aug 21, 2011","335.25","330.74","336.03","328.40","-","1.75%"
"Aug 14, 2011","329.47","326.81","335.74","325.82","-","0.90%"
"Aug 07, 2011","326.53","322.14","328.68","315.40","-","-0.08%"
"Jul 31, 2011","326.80","343.86","345.50","323.93","-","-4.47%"
"Jul 24, 2011","342.08","346.81","349.36","341.05","-","-1.68%"
"Jul 17, 2011","347.93","344.81","348.82","341.36","-","0.47%"
"Jul 10, 2011","346.30","340.50","350.54","338.54","-","0.80%"
"Jul 03, 2011","343.55","338.54","346.95","338.54","-","2.03%"
"Jun 26, 2011","336.71","328.35","339.59","326.74","-","2.07%"
"Jun 19, 2011","329.89","333.55","339.07","326.88","-","-1.67%"
"Jun 12, 2011","335.48","346.94","347.96","333.88","-","-3.61%"
"Jun 05, 2011","348.04","347.01","352.06","344.32","-","-0.16%"
"May 29, 2011","348.61","349.26","350.89","344.94","-","0.68%"
"May 22, 2011","346.27","337.72","346.40","336.10","-","1.38%"
"May 15, 2011","341.56","337.62","345.30","332.92","-","0.90%"
"May 08, 2011","338.53","342.10","348.62","333.50","-","0.35%"
"May 01, 2011","337.35","367.84","370.72","337.35","-","-8.96%"
"Apr 24, 2011","370.56","368.40","370.71","363.23","-","0.85%"
"Apr 17, 2011","367.44","360.92","367.54","357.19","-","1.28%"
"Apr 10, 2011","362.78","367.58","368.97","357.36","-","-1.61%"
"Apr 03, 2011","368.70","361.38","368.71","360.46","-","2.16%"
"Mar 27, 2011","360.89","357.01","361.20","351.76","-","0.37%"
"Mar 20, 2011","359.57","354.55","360.37","351.97","-","2.40%"
"Mar 13, 2011","351.15","349.59","352.40","337.44","-","-0.21%"
"Mar 06, 2011","351.88","366.30","366.71","349.97","-","-3.03%"
"Feb 27, 2011","362.88","352.78","363.63","351.89","-","3.30%"
"Feb 20, 2011","351.29","348.62","351.81","342.88","-","2.78%"
"Feb 13, 2011","341.78","338.25","343.40","335.10","-","1.18%"
"Feb 06, 2011","337.78","339.94","342.06","335.23","-","-0.34%"
"Jan 30, 2011","338.92","336.75","345.19","335.42","-","1.04%"
"Jan 23, 2011","335.44","335.36","336.04","327.42","-","0.43%"
"Jan 16, 2011","333.99","333.91","336.29","328.27","-","0.28%"
"Jan 09, 2011","333.06","324.68","335.90","323.89","-","2.82%"
"Jan 02, 2011","323.94","334.80","335.31","322.76","-","-2.66%"
"Dec 26, 2010","332.80","328.12","333.67","325.20","-","1.04%"
"Dec 19, 2010","329.38","322.87","329.58","320.30","-","2.73%"
"Dec 12, 2010","320.62","318.14","321.04","316.59","-","1.81%"
"Dec 05, 2010","314.91","316.34","320.74","312.92","-","-0.40%"
"Nov 28, 2010","316.16","302.24","316.30","300.84","-","4.99%"
"Nov 21, 2010","301.13","298.76","302.48","293.94","-","0.75%"
"Nov 14, 2010","298.89","304.41","306.54","294.68","-","-1.55%"
"Nov 07, 2010","303.60","313.70","320.38","303.22","-","-3.18%"
"Oct 31, 2010","313.56","302.41","313.57","301.53","-","4.29%"
"Oct 24, 2010","300.67","300.11","301.98","297.20","-","1.16%"
"Oct 17, 2010","297.23","295.32","300.02","292.86","-","0.40%"
"Oct 10, 2010","296.06","296.02","301.83","294.91","-","0.32%"
"Oct 03, 2010","295.11","284.52","295.17","283.53","-","3.30%"
"Sep 26, 2010","285.69","284.50","288.93","282.07","-","0.73%"
"Sep 19, 2010","283.63","280.18","283.97","277.71","-","1.42%"
"Sep 12, 2010","279.65","275.98","280.61","275.64","-","1.64%"
"Sep 05, 2010","275.14","271.12","275.95","270.79","-","0.87%"
"Aug 29, 2010","272.77","267.09","272.86","264.11","-","2.06%"
"Aug 22, 2010","267.27","267.81","268.08","260.22","-","0.10%"
"Aug 15, 2010","267.01","268.79","270.98","266.57","-","-0.66%"
"Aug 08, 2010","268.79","274.71","276.37","267.20","-","-2.15%"
"Aug 01, 2010","274.71","274.35","280.69","273.70","-","0.13%"
"Jul 25, 2010","274.35","266.62","274.42","263.63","-","2.90%"
"Jul 18, 2010","266.62","262.22","267.28","259.85","-","1.68%"
