Date,CloseIBOV,CloseDJI,Price,ICB,CarWash
2012-02-06,65224.0,12845.129883,1.7266,18518.198136607894,0
2012-02-07,65917.0,12878.200195,1.726,18604.478802077912,0
2012-02-08,65831.0,12883.950195,1.7214,18582.142791339546,0
2012-02-09,65530.0,12890.459961,1.7163,18484.368864920427,0
2012-02-10,63998.0,12801.230469,1.7208,18431.36268121915,0
2012-02-13,65692.0,12874.040039,1.7165,18317.26540117038,0
2012-02-14,65039.0,12878.280273,1.7211,17943.11719915104,0
2012-02-15,65368.0,12780.950195,1.7289,17763.906430989533,0
2012-02-16,66142.0,12904.080078,1.7165,17687.12147681229,0
2012-02-17,66204.0,12949.870117,1.715,17668.40314355859,0
2012-02-23,65820.0,12984.69043,1.7137,17745.534419070606,0
2012-02-24,65943.0,12982.950195,1.7094,17771.270550181816,0
2012-02-27,65241.0,12981.509766,1.7077,17809.58242219772,0
2012-02-28,65959.0,13005.120117,1.695,17826.39042945513,0
2012-02-29,65812.0,12952.070313,1.7174,17759.124691912788,0
2012-03-01,66810.0,12980.299805,1.7138,17682.05616274686,0
2012-03-02,67782.0,12977.570313,1.7311,17670.354291974916,0
2012-03-05,66964.0,12962.80957,1.7394,17705.617732519837,0
2012-03-06,65114.0,12759.150391,1.7584,17478.878812227355,0
2012-03-07,66017.0,12837.330078,1.7665,17380.690355453113,0
2012-03-08,66908.0,12907.94043,1.7612,17383.065928099255,0
2012-03-09,66704.0,12922.019531,1.7914,17368.563228357652,0
2012-03-12,66385.0,12959.709961,1.7995,17487.973433959527,0
2012-03-13,68394.0,13177.679688,1.7926,17542.92492021981,0
2012-03-14,68257.0,13194.099609,1.8054,17518.999671711405,0
2012-03-15,67749.0,13252.759766,1.7991,17556.238829126487,0
2012-03-16,67684.0,13232.620117,1.8003,17439.95956607453,0
2012-03-19,67730.0,13239.129883,1.8215,17458.69647679266,0
2012-03-20,67296.0,13170.19043,1.8144,17479.71109046531,0
2012-03-21,66860.0,13124.620117,1.8226,17550.50923103171,0
2012-03-22,65828.0,13046.139648,1.8199,17238.147084738448,0
2012-03-23,65813.0,13080.730469,1.8106,17342.668043084534,0
2012-03-26,66685.0,13241.629883,1.8175,17430.17916308011,0
2012-03-27,66037.0,13197.730469,1.8219,17660.557025394686,0
2012-03-28,65079.0,13126.209961,1.823,17560.157064338462,0
2012-03-29,64872.0,13145.820313,1.8224,17371.827262017738,0
2012-03-30,64511.0,13212.040039,1.8264,17662.62920202418,0
2012-04-02,65216.0,13264.490234,1.8329,17838.157395580543,0
2012-04-03,64284.0,13199.549805,1.8255,17833.82690428148,0
2012-04-04,63529.0,13074.75,1.8263,17857.988131608763,0
2012-04-05,63691.0,13060.139648,1.8214,17729.556633135217,0
2012-04-09,62923.0,12929.589844,1.8173,17524.89208534195,0
2012-04-10,61738.0,12715.929688,1.8337,17529.96296578834,0
2012-04-11,61293.0,12805.389648,1.8358,17525.42886524717,0
2012-04-12,63058.0,12986.580078,1.8272,17506.116039915123,0
2012-04-13,62106.0,12849.589844,1.8372,17404.691856372705,0
2012-04-16,61955.0,12921.410156,1.8478,17216.269402460952,0
2012-04-17,62699.0,13115.540039,1.8612,17157.037380166872,0
2012-04-18,63010.0,13032.75,1.879,17246.579087845057,0
2012-04-19,62618.0,12964.099609,1.8806,17319.081130960483,0
2012-04-20,62494.0,13029.259766,1.8724,17385.15232915645,0
2012-04-23,61539.0,12927.169922,1.8802,17413.771522290393,0
2012-04-24,61971.0,13001.55957,1.8821,17725.13711620364,0
2012-04-25,61750.0,13090.719727,1.8788,17469.33989975477,0
2012-04-26,62198.0,13204.620117,1.8855,17357.179334193734,0
2012-04-27,61691.0,13228.30957,1.8861,17418.054124273578,0
2012-04-30,61820.0,13213.629883,1.9088,17583.89352586756,0
2012-05-02,62424.0,13268.570313,1.9243,17590.156803661757,0
2012-05-03,62104.0,13206.589844,1.9085,17397.663495628323,0
2012-05-04,60821.0,13038.269531,1.9275,17305.1543343851,0
2012-05-07,61220.0,13008.530273,1.9194,17245.874165033067,0
2012-05-08,60365.0,12932.089844,1.9397,17331.969513445052,0
2012-05-09,59786.0,12835.05957,1.9715,17363.38245869971,0
2012-05-10,59702.0,12855.040039,1.9529,17388.28086262696,0
2012-05-11,59445.0,12820.599609,1.966,17266.784033753862,0
2012-05-14,57540.0,12695.349609,1.9951,17483.327702392005,0
2012-05-15,56238.0,12632.0,2.0017,17548.6433190704,0
2012-05-16,55888.0,12598.549805,2.0005,17600.784210761492,0
2012-05-17,54038.0,12442.490234,2.0092,17666.832161060716,0
2012-05-18,54513.0,12369.379883,2.0237,17808.04870065398,0
