"Date","Price","Open","High","Low","Change %"
"Mar 24, 2011","1.6593","1.6611","1.6618","1.6546","-0.11%"
"Mar 23, 2011","1.6611","1.6595","1.6647","1.6571","0.10%"
"Mar 22, 2011","1.6595","1.6669","1.6678","1.6585","-0.44%"
"Mar 21, 2011","1.6669","1.6677","1.6684","1.6576","0.08%"
"Mar 18, 2011","1.6655","1.6791","1.6798","1.6651","-0.76%"
"Mar 17, 2011","1.6782","1.6765","1.6937","1.6665","0.15%"
"Mar 16, 2011","1.6757","1.6653","1.6780","1.6600","0.61%"
"Mar 15, 2011","1.6655","1.6593","1.6786","1.6593","0.37%"
"Mar 14, 2011","1.6593","1.6653","1.6681","1.6592","-0.34%"
"Mar 11, 2011","1.6650","1.6618","1.6696","1.6585","0.16%"
"Mar 10, 2011","1.6623","1.6538","1.6656","1.6538","0.51%"
"Mar 09, 2011","1.6538","1.6448","1.6584","1.6448","-0.01%"
"Mar 08, 2011","1.6540","1.6537","1.6547","1.6537","0.08%"
"Mar 07, 2011","1.6526","1.6555","1.6558","1.6526","-0.18%"
"Mar 04, 2011","1.6555","1.6489","1.6555","1.6423","0.40%"
"Mar 03, 2011","1.6489","1.6575","1.6581","1.6488","-0.52%"
"Mar 02, 2011","1.6575","1.6637","1.6650","1.6570","-0.35%"
"Mar 01, 2011","1.6633","1.6640","1.6645","1.6588","-0.03%"
"Feb 28, 2011","1.6638","1.6625","1.6674","1.6553","0.04%"
"Feb 25, 2011","1.6632","1.6749","1.6749","1.6575","-0.05%"
"Feb 24, 2011","1.6640","1.6740","1.6750","1.6612","-0.63%"
"Feb 23, 2011","1.6745","1.6721","1.6770","1.6659","0.14%"
"Feb 22, 2011","1.6721","1.6689","1.6745","1.6643","0.22%"
"Feb 21, 2011","1.6684","1.6638","1.6744","1.6615","0.34%"
"Feb 18, 2011","1.6628","1.6629","1.6744","1.6575","0.08%"
"Feb 17, 2011","1.6615","1.6764","1.6787","1.6615","-0.54%"
"Feb 16, 2011","1.6705","1.6717","1.6755","1.6651","0.09%"
"Feb 15, 2011","1.6690","1.6675","1.6702","1.6622","0.12%"
"Feb 14, 2011","1.6670","1.6648","1.6708","1.6623","0.08%"
"Feb 11, 2011","1.6656","1.6698","1.6776","1.6578","-0.18%"
"Feb 10, 2011","1.6686","1.6566","1.6770","1.6556","0.54%"
"Feb 09, 2011","1.6596","1.6676","1.6736","1.6596","-0.32%"
"Feb 08, 2011","1.6650","1.6790","1.6790","1.6625","-0.83%"
"Feb 07, 2011","1.6789","1.6740","1.6808","1.6708","0.32%"
